STATUS,STATUS_zh,cEXT,cNEU,cAGR,cCON,cOPN
"Rachel Green: (looks at the lasagne and realizes something) Ohhhhh, don't be mad...Monica Geller: You didn't.Rachel Green: Oh, I am sorry...Monica Geller: I gave you one job! (Starts to examin the lasagne through the bottom of the glass pan.)Rachel Green: Oh, but look how straight those noodles are!Chandler Bing: Now, Monica, you know that's not how you look for an engagement ring in a lasagne...Monica Geller: (puts down the lasagne) I just... can't do it.Chandler Bing: Boys? We're going in.(Chandler, Joey, and Phoebe start to pick through the lasagne as there's a knock on the door which Monica answers.)",雷切爾綠色:(看著烤寬麵條，實現某種東西）哦，不要瘋狂...... Monica Geller：你沒有。格拉勒綠色：哦，我很抱歉...... Monica Geller：我給了你一份工作！ （開始通過玻璃盤的底部考試烤寬麵條。 。..Monica Geller :(放下烤寬麵條）我只是......不能做到這一點。Bandler Bing：男孩？我們要進去。（錢德勒，喬伊和菲比開始穿過蘭薩克，因為莫妮卡答案的門上有一個敲門聲。）,0,1,1,0,1
"Mrs. Geller: Oh, Martha Ludwin's daughter is gonna call you. (Tastes a snack) Mmm! What's that curry taste?Monica Geller: Curry.Mrs. Geller: Mmmm!Ross Geller: I- I think they're great! I, I really do.Ross Geller: (To Ross) Do you remember the Ludwins? The big one had a thing for you, didn't she?Mrs. Geller: They all had a thing for him.Ross Geller: Aw, Mom...",蓋勒夫人：哦，瑪莎倫文的女兒會給你打電話。 （品嚐一個小吃）mmm！咖哩味什麼？Monica Geller：Curry.mrs。 geller：mmmm！羅斯蓋勒：我 - 我認為他們很棒！我，我真的。羅斯蓋勒:(對羅斯）你還記得Ludwins嗎？這是一個為你有一件事，不是嗎？太太。蓋勒：他們都有一件事。蓋爾：噢，媽媽......,1,0,0,0,1
"Rachel Green: Barry?Barry: C'mon in.Rachel Green: (hesitates) Are you sure?Barry: Yeah! It's fine, it's fine. Robbie's gonna be here for hours.Robbie: Huh?!Barry: So, how ya doin?Rachel Green: I'm- uh- I'm okay... You look great!",雷切爾綠色：巴里？巴里：C'Mon In.Rachel Green：（猶豫）你確定嗎？巴里：是的！沒關係，沒關係。 Robbie的要在這裡營業時間。,0,1,0,0,0
"Ross Geller: So, um- so how's this, uh, how's this gonna work? Y'know, with us? Y'know, when, like, important decisions have to be made?Carol Willick: Give me a 'for instance'.Ross Geller: Well, uh, uh, I don't know, okay, okay, how about with the, uh, with the baby's name?Carol Willick: Marlon-Ross Geller: Marlon?!Carol Willick: -if it's a boy, Minnie if it's a girl.Ross Geller: ...As in Mouse?",羅斯蓋勒：所以，嗯 - 那麼這是怎麼回事，呃，這會如何工作？ y'know，和我們在一起嗎？ y'know，何時，如，重要的決定必須製作？卡羅爾威里克：給我一個'例如'。羅斯蓋爾：嗯，呃，我不知道，好的，好的，好的，好吧，呃，帶寶寶的名字？卡羅爾威里克：馬龍 - 羅斯蓋勒：馬龍？！卡羅爾·威廉： - 如果這是一個男孩，米妮，如果它是一個女孩。戈爾：......,1,0,0,1,1
"Ross Geller: Well? Isn't that amazing?Joey Tribbiani: What are we supposed to be seeing here?Chandler Bing: I dunno, but.. I think it's about to attack the Enterprise.Phoebe Buffay: You know, if you tilt your head to the left, and relax your eyes, it kinda looks like an old potato.Ross Geller: Then don't do that, alright?Phoebe Buffay: Okay!Ross Geller: (walks over to where Monica is standing)Monica. Whaddya think?Monica Geller: (welling up) Mm-hmm.Ross Geller: Wh- are you welling up?Monica Geller: No.",羅斯蓋勒：好吧？不是那麼驚人嗎？喬伊···································斯波尼亞語來看？錢德勒冰：我鄧諾，但我認為這即將攻擊企業。你知道，如果你把頭傾斜到左邊放鬆你的眼睛，有點看起來像一個古老的馬鈴薯。羅斯蓋勒：然後不要那樣做，好吧？菲比·巴菲爾：好的！羅斯蓋勒:(走到莫妮卡站在莫妮卡站立的地方）莫妮卡。 Whaddya認為？Monica Geller :(富裕）mm-hmm.ross geller：你好嗎？Monica Geller：不。,0,0,1,0,1
"Phoebe Buffay: - and there's five hundred extra dollars in my account.Chandler Bing: Oh, Satan's minions at work again...Phoebe Buffay: Yes, 'cause now I have to go down there, and deal with them.Joey Tribbiani: What are you talking about? Keep it!Phoebe Buffay: It's not mine, I didn't earn it, if I kept it, it would be like stealing.Rachel Green: Yeah, but if you spent it, it would be like shopping!Phoebe Buffay: Okay. Okay, let's say I bought a really great pair of shoes. Do you know what I'd hear, with every step I took? 'Not-mine. Not-mine. Not-mine.' And even if I was happy, okay, and, and skipping- 'Not-not-mine, not-not-mine, not-not-mine, not-not-mine'...Monica Geller: We're with you. We got it.(Chandler leans over the back of the couch out of sight.)Phoebe Buffay: Okay. I'd- just- I'd never be able to enjoy it. It would be like this giant karmic debt.Rachel Green: Chandler, what are you doing?",Phoebe Buffay： - 我的帳戶中有五百額外的美元。哦，撒旦的僕從再次工作...... Phoebe Buffay：是的，“因為現在我必須在那裡下來，並與他們打交道.joey tribbiani：你在說什麼？保持它！Phoebe Buffay：這不是我的，如果我保留它，我沒有贏得它，它會像偷竊一樣。rachel綠色：是的，但如果你花了，那就是購物！Phoebe Buffay：好的。好的，讓我們說我買了一雙非常棒的鞋子。你知道我聽到了什麼，每一步都採取了嗎？ '不是我的。不是我的。不是我的。'即使我很高興，好的，和，而且跳過 - 'not-not-mine，not-not-mine，not-not-mine，not-not-mine'... monica geller：我們和你在一起。我們得到了它。（錢德勒靠在沙發的後面，看不見。）Phoebe Buffay：好的。我只是 - 我永遠無法享受它。它就像這個巨大的業力債務。綠色：錢德勒，你在做什麼？,0,0,0,1,1
"Phoebe Buffay: Hey, Lizzie.Lizzie: Hey, Weird Girl.Phoebe Buffay: I brought you alphabet soup.Lizzie: Did you pick out the vowels?Phoebe Buffay: Yes. But I left in the Ys. 'Cause, y'know, ""sometimes y"". Uh, I also have something else for you. (She searches in her purse.)Lizzie: Saltines?Phoebe Buffay: No, but would you like a thousand dollars and a football phone?Lizzie: What? (She opens the envelope Phoebe has given her.) Oh my God, there's really money in here.Phoebe Buffay: I know.Lizzie: Weird Girl, what are you doing?Phoebe Buffay: No, I want you to have it. I don't want it.Lizzie: No, no, I ha-I have to give you something.Phoebe Buffay: Oh, that's fine, no.Lizzie: Would you like my tin-foil hat?",Phoebe Buffay：嘿，lizzie.lizzie：嘿，奇怪的girl.phoebe buff：我帶你的字母湯。你挑選了元音嗎？Phoebe Buffay：是的。但我離開了ys。因為，你知道，“有時是”。呃，我也有其他東西給你。 （她在她的錢包裡搜索。）Lizzie：Saltines？Phoebe Buffay：不，但是你想要一千美元和一個足球電話嗎？Lizzie：什麼？ （她打開了菲比的信封菲比。）哦，我的上帝，這裡真的有錢。我不想要它。,1,1,0,0,1
"Ross Geller: A thumb?!(Phoebe nods.)All: Eww!Phoebe Buffay: I know! I know, I opened it up and there it was, just floating in there, like this tiny little hitch-hiker!Chandler Bing: Well, maybe it's a contest, y'know? Like, collect all five?Phoebe Buffay: Does, um, anyone wanna see?",羅斯蓋勒：拇指？！（Phoebe Nods。）全部：EWW！Phoebe Buffay：我知道！我知道，我打開它，在那裡，只是漂浮在那裡，就像這個小小的掛鉤 - 徒步旅行者！錢德勒冰：好吧，也許是一個比賽，你知道？喜歡，收集所有五個？Phoebe Buffay：做，嗯，有人想看看嗎？,1,0,1,1,0
"Rachel Green: Uh, Joey..Joey Tribbiani: Oh, God! (Hurriedly closes his legs.)Monica Geller: (turns off the TV) Okay..All: Oh! That was Lambchop!Monica Geller: Please, guys, we have to talk.Phoebe Buffay: Wait, wait, I'm getting a deja vu...no, I'm not.Monica Geller: Alright, we have to talk.Phoebe Buffay: There it is!",雷切爾綠色：呃，喬伊...... Joey Tribbiani：哦，上帝​​！ （趕緊閉上他的腿。）Monica Geller :(關閉電視）好吧.All：哦！那是lambchop！monica geller：請，伙計們，我們必須談談。等等，等等，我得到一個deja vu ......不，我不是。我不知道。好吧，我們要談談。 Phoebe Buffay：它是！,0,1,1,1,1
"Phoebe Buffay: Okay, okay. If I were omnipotent for a day, I would want, um, world peace, no more hunger, good things for the rain-forest...And bigger boobs!Ross Geller: Yeah, see.. you took mine. Chandler, what about you?Chandler Bing: Uh, if I were omnipotent for a day, I'd.. make myself omnipotent forever.Rachel Green: See, there's always one guy. (Mocking) ""If I had a wish, I'd wish for three more wishes."" (Joey enters.)All: Hey Joey. Hi. Hey, buddy.Monica Geller: Hey, Joey, what would you do if you were omnipotent?",Phoebe Buffay：好的，好的。如果我是一天的一天，我會想要，嗯，世界和平，不再飢餓，雨林的好東西......和更大的胸部！羅斯蓋勒：是的，見..你拿走了我的。錢德勒，你呢？錢德勒Bing：呃，如果我一天的無所不能，我會......讓自己永遠無所不能。格林：看，總有一個人。 （嘲笑）“如果我有一個願望，我希望三個願望。” （喬伊進入。）全部：嘿喬伊。你好。嘿，Buddy.Monica Geller：嘿，喬伊，如果你是無所不能的話，你會怎麼做？,0,1,0,1,1
"Phoebe Buffay: I got no sleep last night!Ross Geller: Why?Phoebe Buffay: My grandmother has this new boyfriend, and they're both kind of insecure in bed. Oh, and deaf. So they're constantly, like, having to reassure each other that they're having a good time. You have no idea how loud they are!Monica Geller: Well, if you want, you can stay with Rachel and me tonight.Phoebe Buffay: Thanks.(Chandler and Joey enter. Joey is counting his steps.)Joey Tribbiani: ...Ninety-five, ninety-six, ninety-seven. See, I told you! Less than a hundred steps from our place to here.Chandler Bing: You got waaaay too much free time.Joey Tribbiani: (to Ross) Hey! Here's the birthday boy! Ross, check it out: hockey tickets, Rangers-Penguins, tonight at the Garden, and we're taking you.Chandler Bing: Happy birthday, pal!Joey Tribbiani: We love you, man. (Kisses Ross)Ross Geller: Funny, my birthday was seven months ago.Joey Tribbiani: So?",Phoebe Buffay：我昨晚沒有睡覺！Ross Geller：為什麼？Phoebe Buffay：我的祖母有這個新的男朋友，他們都在床上的不安全。哦，聾。所以他們不斷，就像，不得不互相安撫他們有一個美好時光。你不知道他們有多響亮！Monica Geller：嗯，如果你願意，你可以留在Rachel和Me Tonight.phoebe Buff：謝謝。（Chandler和Joey進入。喬伊·喬布斯：..九十五，九十六，九十七。看，我告訴過你！從我們的地方到這裡少了一百個步數。這是生日男孩！羅斯，看看：曲棍球門票，遊俠 - 企鵝，今晚在花園裡，我們帶你去你。生日快樂：生日快樂！Joey Tribbiani：我們愛你，男人愛你。 （親吻羅斯）羅斯蓋勒：有趣，我的生日是七個月前.joey tribbiani：所以？,0,0,0,1,0
"Ross Geller: What are you doing?Chandler Bing: (stops) I have no idea.Joey Tribbiani: C'mon, Ross!Ross Geller: Alright, alright, maybe it'll take my mind off it. Do you promise to buy me a big thumb finger?Chandler Bing: You got it.(Rachel runs up cluching an envelope.)Rachel Green: Look-look-look-look-look, my first pay check! Look at the window, there's my name! Hi, me!Phoebe Buffay: I remember the day I got my first pay check. There was a cave in in one of the mines, and eight people were killed.Monica Geller: Wow, you worked in a mine?Phoebe Buffay: I worked in a Dairy Queen, why?Rachel Green: God, isn't this exciting? I earned this. I wiped tables for it, I steamed milk for it, and it was totally(opens envelope)not worth it. Who's FICA? Why's he getting all my money? I mean, what- Chandler, look at that.",羅斯蓋爾：你在做什麼？錢德勒Bing :(停止）我不知道.Joey Tribbiani：C'Mon，Ross！Ross Geller：好的，好吧，也許它會讓我的想法。你是否保證給我買一個大拇指手指？錢德勒Bing：你得到了它。（雷切爾運行了一個信封。）Rachel Green：看起來看看看看看看，我的第一個支票！看看窗戶，有我的名字！嗨，我！Phoebe Buffay：我記得我第一次付款的那一天。其中一個礦山里有一個洞穴，八人殺死。哇，你在一個礦山工作？Phoebe Buffay：我在奶製女王工作，為什麼？雷切爾綠色：上帝，不是這個令人興奮的還我贏了這一點。我為它擦拭桌子，我蒸了牛奶，它是完全（打開的信封）不值得。誰是fica？他為什麼要得到我所有的錢？我的意思是，什麼 - 錢德勒，看那個。,0,1,0,0,0
"Chandler Bing: (stops) I have no idea.Joey Tribbiani: C'mon, Ross!Ross Geller: Alright, alright, maybe it'll take my mind off it. Do you promise to buy me a big thumb finger?Chandler Bing: You got it.(Rachel runs up cluching an envelope.)Rachel Green: Look-look-look-look-look, my first pay check! Look at the window, there's my name! Hi, me!Phoebe Buffay: I remember the day I got my first pay check. There was a cave in in one of the mines, and eight people were killed.Monica Geller: Wow, you worked in a mine?Phoebe Buffay: I worked in a Dairy Queen, why?",錢德勒Bing :(停止）我不知道.Joey Tribbiani：C'Mon，Ross！Ross Geller：好的，好的，也許它會讓我的思緒離開它。你是否保證給我買一個大拇指手指？錢德勒Bing：你得到了它。（雷切爾運行了一個信封。）Rachel Green：看起來看看看看看看，我的第一個支票！看看窗戶，有我的名字！嗨，我！Phoebe Buffay：我記得我第一次付款的那一天。其中一個地雷有一個洞穴，八人被殺.Monica蓋勒：哇，你在礦井里工作了嗎？Phoebe Buffay：我在奶製女王工作，為什麼？,0,1,1,0,0
"Monica Geller: How does she do that?Ross Geller: I cannot sleep in a public place.Monica Geller: Would you look at her? She is so peaceful.Phoebe Buffay: (waking and startling them) Oh! What what what! ...Hi.Ross Geller: It's okay, y'know, you just nodded off again.Monica Geller: What's going on with you?Phoebe Buffay: I got no sleep last night!Ross Geller: Why?Phoebe Buffay: My grandmother has this new boyfriend, and they're both kind of insecure in bed. Oh, and deaf. So they're constantly, like, having to reassure each other that they're having a good time. You have no idea how loud they are!Monica Geller: Well, if you want, you can stay with Rachel and me tonight.",Monica Geller：她是怎麼做到的？Ross Geller：我無法在公共場所睡覺..你會看她嗎？她是如此平安.Phoebe Buffay :(醒來和迷惑他們）哦！什麼什麼什麼！ ...嗨蓋爾：沒關係，你知道，你剛剛點頭.Monica geller：你發生了什麼？Phoebe Buffay：我昨晚沒有睡覺！Ross Geller：為什麼？Phoebe Buffay：我的祖母有這個新的男朋友，他們都在床上的兩種不安全。哦，聾。所以他們不斷，就像，不得不互相安撫他們有一個美好時光。你不知道他們有多響亮！Monica Geller：嗯，如果你想要的話，你今晚可以留在雷切爾和我。,1,1,1,0,1
"Rachel Green: I'm so sorry, you guys. I didn't mean to bring you down.Monica Geller: No, you were right. I don't have a plan. (There's a knock on the door.)Pizza Guy: (yelling from outside) Pizza guy!Rachel Green: Thank God. Food. (She goes to answer the door.)Monica Geller: Phoebe?Phoebe Buffay: What?Monica Geller: Do you have a plan?Phoebe Buffay: I don't even have a 'pl'.",雷切爾綠色：我很抱歉，你們。我並不是故意讓你失望..你是對的。我沒有計劃。 （門上有敲門聲。）披薩傢伙:(來自外面大喊大叫）披薩傢伙！雷切爾綠色：謝謝上帝。食物。 （她去回答了門。）Monica Geller：Phoebe？Phoebe Buffay：什麼？Monica Geller：你有一個計劃嗎？Phoebe Buffay：我甚至沒有'PL'。,1,1,1,1,1
"Monica Geller: Light still out?Rachel Green: Yeah.Monica Geller: Oh. Maybe they're- napping.Rachel Green: Oh please, they're having sex.",Monica Geller：光仍然出來？雷切爾綠色：是的，yeah.monica geller：哦。也許是他們 - 小睡.Rachel Green：哦，他們正在做愛。,0,0,1,1,0
"Rachel Green: Okay, okay, okay, I got one! (She sits up and the cushion she was leaning against falls off of the balcony.) Anyway- The valentine Tommy Rollerson left in your locker was really from me.Monica Geller: Excuse me?!Rachel Green: Hello? Like he was really gonna send you one? (To Phoebe) She was a big girl.Monica Geller: Really. Well, at least 'big girls' don't pee in their pants in seventh grade!Rachel Green: I was laughing! You made me laugh! (Monica and Rachel start to squabble)Phoebe Buffay: There he is! There he is!",雷切爾綠色：好的，好的，好的，我有一個！ （她坐著，她靠在陽台上的墊子。）無論如何就像他真的會送你一個？ （對Phoebe）她是一個大女孩.Monica geller：真的。好吧，至少有“大女孩”不要在七年級褲子撒尿！雷切爾綠色：我笑了！你讓我笑了！ （莫妮卡和雷切爾開始爭吵）Phoebe Buffay：他在那裡！他在那！,0,1,1,1,1
"Receptionist: (sarcastic) Oh, that's attractive.Chandler Bing: Oh, I thought you were great in Silence of the Lambs. Oh come on, admit it! All things considered, you had fun tonight.Ross Geller: Fun? Where was the fun? Tell me specifically, which part was the fun part? Where's my puck?Joey Tribbiani: Oh, ah- the kid has it.Ross Geller: The kid...? (To the kid) Excuse me, uh, that's, that's my puck.Kid: I found it. Finders keepers, losers weepers. (Ross looks at Chandler for help.)Chandler Bing: You gotta do it, man.Ross Geller: (to the kid) Oh yeah? Well, I'm rubber, you're glue, whatever(to Chandler)can't do it. (to the kid) Listen, uh- gimme back my puck.Kid: No.",接待員:(諷刺）哦，那是有吸引力的。Chandler Bing：哦，我以為你在沉默的羔羊沉默了。哦，來吧，承認！所有的事情都考慮，你今晚玩得開心。羅斯蓋勒：有趣嗎？有趣的地方？特別告訴我，哪個部分是有趣的部分？我的冰球在哪裡？Joey Tribbiani：哦，啊 - 孩子有它。蓋爾：孩子......？ （對孩子）對不起，呃，那是我的冰球.KID：我找到了它。尋找守護者，輸家沃雷斯。 （羅斯看著錢德勒尋求幫助。）錢德勒Bing：你得做到這一點，Man.ross Geller :(對孩子）哦是的？好吧，我是橡膠，你是膠水，無論是什麼（向錢德勒）都不能這樣做。 （對孩子）聽，UH-給我的冰球.KID：不。,1,1,1,1,1
